voyage,Date,Lat,Lon,CTD_no,Niskin_no,Depth,PN_uM,POC_uM,PN_umol/kg,POC_umol/kg,Total MV Chl a,Chl mg m-3,,,Oxygen (uM),Oxygen flag,NOx (uM),NOx flag,Phosphate (uM),Phosphate flag,Silicate (uM),Silicate flag,Ammonia (uM),Ammonia flag,Nitrite (uM),Nitrite flag
IN2016_V02,18/3/2016 12:25,-46.769,141.934,2,18,102.6,0.26,1.89,,,0.317,,,,,,,,,,,,,,,
IN2016_V02,18/3/2016 12:25,-46.769,141.934,2,20,52.6,0.25,1.83,,,0.299,,,,,,,,,,,,,,,
IN2016_V02,18/3/2016 12:25,-46.769,141.934,2,24,7,0.24,1.76,,,0.317,,,,,,,,,,,,,,,
IN2016_V02,14/4/2016 10:36,-46.583,142.024,40,18,99.4,0.19,1.6,,,0.24,,,,,,,,,,,,,,,
IN2016_V02,14/4/2016 10:36,-46.583,142.024,40,20,50.4,0.41,3,,,0.33,,,,,,,,,,,,,,,
IN2016_V02,14/4/2016 10:36,-46.583,142.024,40,24,5.5,0.41,2.84,,,0.23,,,,,,,,,,,,,,,
IN2018_V02,4/3/2018 21:05,-47.0005,142.0208,2,23,125.5,0.103263982,0.778145949,0.1,0.76,,,,,269.7,0,15.16,0,1.1,0,4.2,0,-0.01,63,0.022,0
IN2018_V02,4/3/2018 21:05,-47.0005,142.0208,2,26,100.9,0.121076949,0.931904675,0.12,0.91,,,,,265.8,0,14.59,0,1.07,0,3.6,0,0,63,0.027,0
IN2018_V02,4/3/2018 21:05,-47.0005,142.0208,2,29,80.3,0.341900056,2.020491857,0.33,1.97,,,,,269.7,0,12.44,0,0.95,0,1.9,0,0.17,0,0.359,0
IN2018_V02,4/3/2018 21:05,-47.0005,142.0208,2,,50,,,,,0.404,,,,,,,,,,,,,,,
IN2018_V02,4/3/2018 21:05,-47.0005,142.0208,2,32,24.4,0.946110736,5.972642567,0.92,5.83,0.378,,,,278,0,9.1,0,0.75,0,0.8,0,0.07,0,0.195,0
IN2018_V02,4/3/2018 21:05,-47.0005,142.0208,2,36,6.2,1.020203126,6.158799117,1,6.01,0.093,,,,278.2,0,9.09,0,0.75,0,0.8,0,0.08,0,0.198,0
IN2018_V02,6/3/2018 19:00,-46.9979,141.9993,3,3,100.9,0.163843751,1.069210519,0.16,1.04,,,,,256.6,0,12.6,0,0.95,0,2.7,0,-0.01,63,0.031,0
IN2018_V02,6/3/2018 19:00,-46.9979,141.9993,3,7,80.4,0.384761878,2.353615593,0.38,2.3,,,,,267,0,6.7,0,0.63,0,0.6,0,0.44,0,0.224,0
IN2018_V02,6/3/2018 19:00,-46.9979,141.9993,3,9,70.3,0.488066165,2.914591826,0.48,2.84,,,,,268.1,0,7.02,0,0.66,0,0.6,0,0.44,0,0.226,0
IN2018_V02,6/3/2018 19:00,-46.9979,141.9993,3,11,49.8,0.721934655,4.450873156,0.7,4.34,,,,,275.1,0,8.95,0,0.76,0,0.8,0,0.24,0,0.217,0
IN2018_V02,6/3/2018 19:00,-46.9979,141.9993,3,13,30.2,0.904642998,5.603292078,0.88,5.47,,,,,288.7,0,12.85,0,0.99,0,0.8,0,0.03,0,0.206,0
IN2018_V02,6/3/2018 22:00,-47,141.99925,,,5,1.13,7.31,1.1,7.13,,,,underway,,,,,,,,,,,,
IN2018_V02,8/3/2018 15:15,-47.0005,142.0022,4,27,100,0.409673996,2.490600772,,,,,,,269.5,0,8.53,0,0.74,0,0.9,0,0.3,0,0.214,0
IN2018_V02,8/3/2018 15:15,-47.0005,142.0022,4,30,75.5,0.74097538,4.435429128,,,0.282,,,,272.2,0,7.61,0,0.68,0,0.5,0,0.24,0,0.184,0
IN2018_V02,8/3/2018 15:15,-47.0005,142.0022,4,31,49.4,0.907216442,5.492782248,,,,,,,275.9,0,7.93,0,0.69,0,0.6,0,0.1,0,0.177,0
