Cruise,Cast_no.,Station,Date,Time,Latitude (N) ,Longitude Û,Pressure (dbar),Depth (m),DFe [nmol/kg],DFe_QC_flag
IN2018_V02,TMR 1,SOTS,5/3/2018,8:20:00,-47.001,142.022,15,14.87495358,0.23,1
IN2018_V02,TMR 1,SOTS,5/3/2018,8:20:00,-47.001,142.022,40,39.66413848,0.43,1
IN2018_V02,TMR 1,SOTS,5/3/2018,8:20:00,-47.001,142.022,70,69.40719583,0.15,1
IN2018_V02,TMR 1,SOTS,5/3/2018,8:20:00,-47.001,142.022,100,99.14593182,0.27,1
IN2018_V02,TMR 1,SOTS,5/3/2018,8:20:00,-47.001,142.022,150,148.7008991,0.36,1
IN2018_V02,TMR 1,SOTS,5/3/2018,8:20:00,-47.001,142.022,200,198.2438907,0.53,1
IN2018_V02,TMR 1,SOTS,5/3/2018,8:20:00,-47.001,142.022,500,495.2513314,0.99,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,15,14.87495768,0.32,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,30,29.74883329,0.17,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,50,49.57898501,0.23,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,70,69.407215,0.3,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,80,79.3206097,0.19,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,90,89.23352439,0.36,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,100,99.14595921,0.21,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,125,123.9249478,0.36,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,150,148.7009402,0.44,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,200,198.2439455,0.26,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,300,297.2940993,0.45,1
IN2018_V02,TMR 2,SOTS,7/3/2018,8:04:00,-46.998,142,500,495.2514682,0.42,1
IN2018_V02,TMR 3,SOTS,7/3/2018,18:20:00,-46.97,141.93,15,14.87499604,1.22,4
IN2018_V02,TMR 3,SOTS,7/3/2018,18:20:00,-46.97,141.93,40,39.66425171,0.46,1
IN2018_V02,TMR 3,SOTS,7/3/2018,18:20:00,-46.97,141.93,70,69.40739397,0.44,1
