Event,Device,Date/Time,Latitude,Longitude,Expedition,Depth water [m],Water mass,Salp bloom pres,Cy,Cycle descr,Day of cycle [day],Cast,Station,Temp [°C],Sal,Bottle,Press [dbar],O2 [µmol/kg],Fluorescence [mg/m**3],Chl tot [mg/m**3],BP C [µg/l/day],Bact [#/ml],S. thompsoni C [g/m**2],S. thompsoni C daily [g/m**2],Bact C [mmol C/m**3] (20 fg C/cell)
TAN1810_1_015,CTD,2018-10-25T13:13:00,-44.6,174.22,TAN1810,55,SC-SA,Yes,1,Salp SC-SA,1,9103,3,9.9,34.68,3,56.4,278.2,1.4,,0.9444,1429239,1.13,1.29,2.37994
TAN1810_1_015,CTD,2018-10-25T13:13:00,-44.6,174.22,TAN1810,40,SC-SA,Yes,1,Salp SC-SA,1,9103,3,9.9,34.66,6,41.3,286.3,2.5,,1.5361,1691257,1.13,1.29,2.81625
TAN1810_1_015,CTD,2018-10-25T13:13:00,-44.6,174.22,TAN1810,30,SC-SA,Yes,1,Salp SC-SA,1,9103,3,10.5,34.59,9,30.3,288.2,1.7,,1.4886,1163177,1.13,1.29,1.9369
TAN1810_1_015,CTD,2018-10-25T13:13:00,-44.6,174.22,TAN1810,20,SC-SA,Yes,1,Salp SC-SA,1,9103,3,10.7,34.6,13,19.8,285.8,1.4,,1.6476,1063605,1.13,1.29,1.7711
TAN1810_1_015,CTD,2018-10-25T13:13:00,-44.6,174.22,TAN1810,12,SC-SA,Yes,1,Salp SC-SA,1,9103,3,10.7,34.59,17,12.1,285.1,1.1,,1.3227,1060192,1.13,1.29,1.76541
TAN1810_1_015,CTD,2018-10-25T13:13:00,-44.6,174.22,TAN1810,5,SC-SA,Yes,1,Salp SC-SA,1,9103,3,10.8,34.6,21,4.9,284.8,1.2,,0.8671,1131438,1.13,1.29,1.88405
TAN1810_1_024,CTD,2018-10-26T13:11:00,-44.53,174.23,TAN1810,50,SC-SA,Yes,1,Salp SC-SA,2,9106,6,9.8,34.68,3,50.3,268.8,0.5,0.445,0.4688,946255,1.13,3.74,1.57569
TAN1810_1_024,CTD,2018-10-26T13:11:00,-44.53,174.23,TAN1810,40,SC-SA,Yes,1,Salp SC-SA,2,9106,6,9.8,34.67,6,40.7,272.3,1,1.608,1.336,994563,1.13,3.74,1.65613
TAN1810_1_024,CTD,2018-10-26T13:11:00,-44.53,174.23,TAN1810,30,SC-SA,Yes,1,Salp SC-SA,2,9106,6,9.8,34.64,9,30.3,283.5,2.6,1.091,1.5934,1435851,1.13,3.74,2.39095
TAN1810_1_024,CTD,2018-10-26T13:11:00,-44.53,174.23,TAN1810,20,SC-SA,Yes,1,Salp SC-SA,2,9106,6,10.4,34.61,13,20.7,286,1.7,,1.0194,1473140,1.13,3.74,2.45305
