# alphabio_phy abioa_phy bbioa_phy abioa_dia bbioh phykf phymaxqc phylmor diamaxqs diaVmaxs dialmor overflow zooCingest zooCassim zooeps zprefdia zoolmor mesCassim meseps mprefphy meslmor mesqmor mespreyswitch detqrem ldetphi phyrad0 diarad0 zoorad0 phybiot diabiot dfefloor kscav_dfe kcoag_dfe bsi_alpha aoalmor pbac_alpha lbac_alpha lbac_beta baclmor bacqmor
0.8948582594 0.9569271822 0.7859256308 0.2751844421 0.4871605936 0.0242853964 0.0825245894 0.6795511850 0.7909577660 0.4045934695 0.9673419491 0.8453530177 0.3400796905 0.8313296337 0.5951123927 0.7776284667 0.5637215715 0.8162278173 0.9152374089 0.7152342422 0.0318502232 0.0329112449 0.3779218698 0.2035081888 0.7226395461 0.5261577370 0.5636629330 0.3340631998 0.9161070450 0.6360170832 0.7350897630 0.1141398108 0.5165764952 0.2552342135 0.7910019042 0.4295873641 0.2409624620 0.4104103296 0.3960875034 0.0813556437
0.8422855177 0.8492908391 0.8353697802 0.3044765390 0.3881332136 0.0796203182 0.1432857495 0.7457589551 0.8523559916 0.1469827590 0.8947113426 0.7619550909 0.6661162967 0.7931244881 0.7883162073 0.3500685272 0.3966771624 0.8544431262 0.7739574088 0.9200839767 0.0665791857 0.0511327487 0.6490406673 0.0732204806 0.6354074310 0.4070145664 0.5818563997 0.5027401722 0.6746493157 0.2079123915 0.5848408860 0.2058464921 0.3043794754 0.4068361470 0.8147316170 0.3862816894 0.3060003238 0.5090373204 0.4878938597 0.1333696535
0.7044472912 0.9255330235 0.8499277356 0.2380718156 0.2202306011 0.1880191468 0.1883601359 0.6402692004 0.5613460673 0.5615967718 0.9722457744 0.6765352979 0.8003022092 0.7522137742 0.5108421397 0.7859884530 0.3788332273 0.6050814704 0.8570765924 0.8962840570 0.0557883692 0.0970096816 0.7053704523 0.0588730415 0.5771447073 0.1854170898 0.6191781849 0.2899187753 0.6502403299 0.3140704701 0.8256419344 0.2136288423 0.3769423317 0.6783329531 0.8433210283 0.5298767025 0.4054919371 0.2914636008 0.4925390723 0.2387926266
0.9184794583 0.9223875098 0.7016436222 0.5165791120 0.4925267238 0.2025666367 0.0891510298 0.6467591324 0.6705952868 0.2338536653 0.9823060917 0.6812833890 0.7250974232 0.8595460005 0.8639024838 0.6233565994 0.6205016502 0.8707441611 0.8790083946 0.8525606258 0.0327276997 0.0253840681 0.6510448743 0.0631437888 0.8461812902 0.5487295064 0.4864770334 0.5540746334 0.9012784866 0.6153183064 0.8223986770 0.1024295997 0.4937876023 0.2076946110 0.7847856115 0.2411969068 0.2469822045 0.3896209041 0.5088636675 0.1424590892
0.8620396828 0.9659931561 0.7082378665 0.2908322719 0.7859226194 0.0458996324 0.2094941943 0.7042066282 0.6118855781 0.4164635330 0.9549824776 0.6645134509 0.5131772665 0.8360821281 0.5937013306 0.5610348323 0.4871360907 0.8859156038 0.6959606855 0.8068449130 0.1046280097 0.0072867367 0.4910357915 0.0326869866 0.7929952043 0.6636740104 0.2675278217 0.6999192727 0.8450881728 0.4731864119 0.6908020057 0.2956185548 0.4443259130 0.3364150462 0.8073684161 0.3942214658 0.2632416524 0.4220643803 0.4673761154 0.2447685581
0.8466710808 0.9147081053 0.8063599442 0.3794439723 0.5665425728 0.1805745748 0.2491821511 0.6565251435 0.8562200090 0.3446545752 0.9642319788 0.6231710528 0.3637683693 0.7757487708 0.6682843538 0.5780156327 0.2917230930 0.8536731816 0.7415636006 0.8876617105 0.0167000872 0.0131290741 0.6267872817 0.0528535548 0.7484933879 0.4797008530 0.5876884957 0.4405965974 0.8092294381 0.6680841812 0.8830438906 0.0830411081 0.1693764836 0.3506588745 0.8693423585 0.2196922587 0.2398579309 0.5106433886 0.4842337270 0.0533699354
0.7709129777 0.9022419734 0.6172100238 0.4713056939 0.4981985662 0.0423018120 0.1505233114 0.6900911427 0.4087758823 0.3439049964 0.9645082611 0.6927459922 0.7917367757 0.8822757190 0.8184920372 0.4256866340 0.3011316952 0.8371405450 0.7996650201 0.9206538118 0.0730370553 0.0384753734 0.6324132826 0.0271841281 0.8465870576 0.3295777972 0.8041854134 0.3322017876 0.9335956237 0.5380253350 0.8939304620 0.2820859136 0.5371730570 0.2284706225 0.8531788198 0.5612578111 0.1258406613 0.6808627152 0.4032043382 0.1322813737
0.7070858099 0.9396315683 0.8181785059 0.4673616349 0.2882059077 0.0896632068 0.1664973848 0.6508607671 0.5872967152 0.1894162632 0.9875699235 0.6627867021 0.7891192501 0.6974928059 0.4580066117 0.5636321243 0.2742147328 0.9038538755 0.8762857758 0.9352365702 0.0750759956 0.0250290590 0.5272755639 0.0708204890 0.5383205915 0.4036219085 0.4694398719 0.4577820547 0.9195803132 0.5331239547 0.5420065765 0.3640333962 0.1745408676 0.3661514571 0.8672420230 0.5282751807 0.3574902160 0.5758231340 0.4748710025 0.1889051397
0.6163137482 0.8804650967 0.6978339806 0.3405748878 0.3842175452 0.3106528306 0.0553820457 0.6183958353 0.7656915897 0.5279470761 0.9269002904 0.7160627833 0.6158781073 0.6719983736 0.7826790679 0.3444206985 0.4601586556 0.8784005297 0.8271039371 0.8570215760 0.1064348015 0.0786682436 0.7488640904 0.0366602476 0.7844428749 0.5040157294 0.4162301410 0.6382928791 0.6455741088 0.4006586944 0.6661322020 0.1565540323 0.3798238953 0.3989124562 0.9355330991 0.4286238083 0.1484429494 0.4578696016 0.4552900248 0.1091329038
0.8930456081 0.8507604840 0.4922528367 0.3520332431 0.4071280903 0.0547258422 0.2588625261 0.6915907044 0.5292575531 0.5992372366 0.9007728587 0.8163181063 0.6523038538 0.8205730431 0.6447565589 0.7588112554 0.3067968215 0.7765601259 0.8883482163 0.9221708798 0.0516678172 0.0439669840 0.5947258174 0.0594259076 0.5984900089 0.6713911421 0.4638749590 0.5384423361 0.8663979223 0.3108049596 0.7508052626 0.2895069302 0.3757667457 0.2243048602 0.7924353461 0.3171337655 0.2237558403 0.4421641512 0.5130034462 0.0819119265
0.7729611565 0.9170021529 0.4514631882 0.6421494677 0.6256592207 0.0484135080 0.1113796997 0.6029797727 0.7245152063 0.1320493432 0.9465646957 0.8938511375 0.5908459276 0.9169139826 0.6860655002 0.4107633646 0.5588937007 0.9365487722 0.9121522760 0.8473794236 0.0340229239 0.0361611167 0.6959227608 0.1369107843 0.5374961797 0.3344376393 0.5206242796 0.2799050535 0.9044439421 0.7419652140 0.5076940280 0.1010596653 0.4499103223 0.2231279393 0.8535406256 0.7839583975 0.2216599869 0.4501750507 0.4689587423 0.2695619903
0.6761898085 0.9074827648 0.8196734224 0.4203424074 0.7013733531 0.0959771578 0.2473961327 0.6155882742 0.5748227581 0.2438535560 0.9479669998 0.4912662804 0.5745418990 0.7042614052 0.5108217834 0.3857615858 0.5607142135 0.8837086015 0.8927601875 0.8370906398 0.0895700536 0.0592546573 0.6710382040 0.0463141184 0.7103031556 0.5477046129 0.4498980562 0.5151622282 0.8489862679 0.2892876513 0.6722648246 0.3623380069 0.2363145688 0.5426102183 0.8267932984 0.5353160041 0.1940187229 0.4269317983 0.5338670672 0.0462850642
0.7205602466 0.8733812606 0.4329165805 0.4826988028 0.7225891580 0.1384775316 0.1466472006 0.6728226710 0.8463474266 0.6096083581 0.9034081469 0.6461859550 0.4217431809 0.7051862655 0.6354280141 0.5959804207 0.4492565003 0.9491033369 0.9502710796 0.9319159285 0.0809107681 0.0201596379 0.7966868696 0.1000092465 0.6793908126 0.6190693261 0.4910835632 0.4870236712 0.9516523287 0.4966658712 0.6181951676 0.4485445637 0.2502665239 0.2821309876 0.8378926376 0.5795569899 0.2259170354 0.2119055010 0.4670679615 0.0905639984
0.8098856656 0.8992519375 0.5996151516 0.5354584956 0.8297287729 0.2447608848 0.0375226912 0.6919534081 0.7700863859 0.3897033920 0.9555908629 0.5571738664 0.4042725958 0.6569907599 0.6760046522 0.5684334000 0.4637413786 0.9409985758 0.8920331219 0.8106680940 0.0498951242 0.0616126067 0.4849082157 0.1675409208 0.8746944959 0.7569447887 0.5895668862 0.4235365851 0.8839740682 0.3911544791 0.8731162022 0.0999569420 0.4359365198 0.4103009568 0.8520441070 0.5127424643 0.2913470967 0.4923284753 0.4201125171 0.2049752963
0.6635578554 0.8990591327 0.6270082938 0.4691745147 0.8248823496 0.2805816251 0.0517319301 0.7234738855 0.5377412448 0.2314409376 0.8596429213 0.6339466238 0.4908989677 0.8724555470 0.6152726582 0.4800205966 0.3892186523 0.9253545038 0.9093048240 0.8136634205 0.0804928435 0.0063114509 0.4792167649 0.0923288713 0.6519484992 0.2932490138 0.4903159953 0.2877535372 0.6790760399 0.3869767873 0.6838076281 0.2815310843 0.2368163954 0.4086132874 0.8540933648 0.6511840826 0.2019068610 0.5010434639 0.4306742307 0.2161976306
0.8806421336 0.8921661296 0.5350892004 0.2518649765 0.7773611908 0.0351163157 0.1692136432 0.6271390120 0.7173684349 0.2536054078 0.9816149370 0.6078394822 0.7287078990 0.6960732191 0.5135079784 0.5570463517 0.3023887718 0.8933176441 0.9058427968 0.7834087560 0.0296718430 0.0433657127 0.5851841788 0.0398553761 0.8243004159 0.7465246695 0.5099182877 0.8222556716 0.7287615717 0.5215175032 0.8003320946 0.2080506404 0.3457355371 0.5298862291 0.8881712869 0.7179055626 0.1641385272 0.4144818011 0.3434747785 0.2649463449
0.8570829005 0.9012926346 0.6169281348 0.3796733558 0.2516017314 0.0458465700 0.1432848516 0.5985388301 0.5544657735 0.4433339320 0.9167813299 0.5538351782 0.4400756093 0.7852787732 0.5497683819 0.3259154332 0.4918798344 0.8630989862 0.8876243529 0.8494033474 0.0588928489 0.0776765269 0.6400159870 0.0592040329 0.8046667817 0.5428860284 0.3092959901 0.3373475561 0.9166806808 0.6153794180 0.6739063163 0.2172441279 0.4280559531 0.4669234113 0.7894826770 0.4499533883 0.3997293738 0.5912413799 0.4901388350 0.2095623494
0.8473231748 0.9455516806 0.7878990959 0.2093670499 0.3099855507 0.1858013023 0.0480308961 0.7437914781 0.6598612362 0.4789663357 0.8712072508 0.7643677437 0.4877172349 0.9324072926 0.7449535211 0.5766813621 0.3223662835 0.7381665282 0.9005122992 0.8564458168 0.0960774911 0.0581922646 0.5843645940 0.0962800070 0.7798725031 0.6267684278 0.7091557543 0.3483500051 0.9582105498 0.6040874864 0.5437885495 0.2881592863 0.3996731965 0.5309009925 0.8355288603 0.5850525439 0.4802471872 0.4802786990 0.5451407207 0.0331228423
0.7653255137 0.8864464884 0.3679631049 0.4120110122 0.4121366503 0.0679577048 0.1851004185 0.6076340771 0.6772811519 0.4130142519 0.8900042214 0.6846170970 0.6214470163 0.5564132980 0.4383822299 0.3942710017 0.3143473885 0.8482270547 0.9271194066 0.8857263571 0.0337231015 0.0656008477 0.7512022253 0.0826277183 0.8640639987 0.2311789124 0.5139115294 0.3158389712 0.6753794371 0.6591528527 0.8321807016 0.2020612634 0.2631809980 0.4078771575 0.7790941393 0.3712268332 0.2416140631 0.3618875762 0.5317924906 0.2302191048
0.8231873277 0.9760184909 0.8149422425 0.5804110667 0.5217506660 0.2208985594 0.2180474219 0.6154327378 0.7427840170 0.6665570062 0.9132830096 0.8272404871 0.4814964933 0.7992701666 0.6875628597 0.3954784468 0.3945373930 0.8952773711 0.8355394072 0.8242332971 0.0482962577 0.0281839237 0.5585537837 0.0344261523 0.6877862963 0.5024668691 0.4835144343 0.5291385331 0.6766589608 0.4009756364 0.3715159121 0.2432207131 0.2968983228 0.3328854367 0.8254313422 0.5662240498 0.2059077541 0.1686940020 0.4695899384 0.0937081536
0.8112596108 0.9725058288 0.8245413316 0.3634678234 0.2761616428 0.1493484044 0.1302321770 0.6298051918 0.3290977154 0.3652935524 0.9180804381 0.4456143371 0.4512511882 0.7877207029 0.8745973496 0.3278104018 0.2596972733 0.8429597535 0.8700862931 0.7498433155 0.1159142111 0.0621191286 0.4555657582 0.0735775593 0.6803332017 0.5524967564 0.3532309586 0.4767947237 0.9023902827 0.4735177680 0.4801663289 0.1215783414 0.5618439756 0.3116498112 0.8543968867 0.4573930632 0.1123175198 0.2117326207 0.4081127824 0.1398320204
0.8292455609 0.9174592425 0.6452049067 0.3389688427 0.6778627147 0.0416927092 0.1244834240 0.6595340498 0.4953721333 0.2890671992 0.8686412577 0.4813168428 0.6264306713 0.8583461880 0.4025707958 0.4261298564 0.4250394916 0.9147351383 0.8444429127 0.9322135077 0.0849251681 0.0382850248 0.6332553914 0.0884148995 0.5653112930 0.4133477761 0.5883007665 0.3825921058 0.6510991538 0.1726546812 0.6647488123 0.1656238254 0.3401362628 0.3062888485 0.8631466328 0.1465844589 0.1055102259 0.3580851843 0.5531882724 0.0875697682
0.6077752451 0.8923238546 0.5214861104 0.1596899743 0.5498028802 0.2001298466 0.0381889562 0.7203273591 0.6954760817 0.3581496033 0.9188287333 0.6529415573 0.5537228315 0.7420027212 0.5162611741 0.4255769330 0.4844274175 0.7095432721 0.9090999331 0.7975606460 0.1003023067 0.0432782204 0.7547293597 0.0490303649 0.6292273793 0.4716558443 0.6778147870 0.4706959436 0.6544056180 0.5884973519 0.7779498577 0.3749586912 0.1726692660 0.3209563109 0.7992278402 0.7807059008 0.2232980416 0.3960918820 0.3506351941 0.1839041844
0.7599528141 0.9254427535 0.7387641828 0.5851997118 0.5173207724 0.0520548638 0.1971468420 0.6943204684 0.6449734002 0.3111602953 0.9059297063 0.4925071195 0.6470394061 0.7590097115 0.6762051973 0.4812312733 0.5094528217 0.8072620936 0.8252697968 0.9438615825 0.0394030109 0.0098036603 0.7845376425 0.1001060278 0.8467193071 0.5223432819 0.3105973347 0.5767771548 0.9303752322 0.4054191493 0.6551518491 0.0885486368 0.2667138534 0.2111523590 0.8119518915 0.6948203094 0.4408289399 0.2808599259 0.4612125197 0.1228850611
0.5705737254 0.9649751105 0.4954053120 0.2100293520 0.3299991815 0.0961131262 0.1009361129 0.6853201862 0.6201580569 0.2618424645 0.9313655335 0.5970770241 0.7712175671 0.6708590610 0.4597863884 0.3468486206 0.4611378392 0.8394096246 0.9036505065 0.7453775656 0.1379568181 0.0170723554 0.7412903076 0.0253280184 0.7136028794 0.5216025115 0.3939225767 0.4002401873 0.9108843524 0.5087435666 0.4907219360 0.2421413131 0.3092504358 0.3230696091 0.7872506769 0.4050699856 0.3332099641 0.2919944969 0.5514188842 0.1946469967
0.7848748956 0.9413222553 0.6417763135 0.1647989176 0.3846783304 0.1228831691 0.2278599104 0.6114976826 0.3708734924 0.1705651060 0.9321307626 0.8790173072 0.4434615623 0.8430926282 0.6509080927 0.3485204450 0.5237861731 0.8210323600 0.9000811383 0.8604640157 0.0208462885 0.0382944312 0.6855589936 0.0581046588 0.6597157512 0.2157397431 0.3946063375 0.7353143854 0.9288129998 0.3343451201 0.6447032187 0.1085659120 0.6219287151 0.3101233487 0.7591492381 0.8732108334 0.2116832708 0.3106850772 0.4598630916 0.0543246001
0.7296684324 0.9599053155 0.8699388265 0.2770029489 0.3264946975 0.1117771765 0.1080405692 0.6386137239 0.5596508349 0.3083330200 0.9265869428 0.5717826438 0.7720372365 0.8529121530 0.6793652289 0.5170591990 0.4186216224 0.7089903579 0.9354589708 0.8542465129 0.0516864317 0.0097980665 0.7383626386 0.1395214563 0.5981573207 0.4750122202 0.5784968470 0.4130986999 0.8751649455 0.6276866268 0.6101031531 0.3627122422 0.2964780664 0.1495383700 0.7758877669 0.4185606000 0.4768806621 0.5345476623 0.3801491131 0.0529681698
0.6462538502 0.9250554760 0.9053880966 0.1851878414 0.6823273340 0.1552661129 0.1437776768 0.6531299696 0.7601578004 0.4712787116 0.9252004756 0.5663010450 0.7649266340 0.6555333682 0.6504424440 0.3030782349 0.5244272290 0.7302729014 0.7754998860 0.9240663626 0.0478925879 0.0536436576 0.7251959908 0.0480045098 0.7175409528 0.3615756287 0.7113566078 0.3518278973 0.7784558446 0.6264353931 0.3982641380 0.2349647338 0.1550164215 0.2696703551 0.8969083551 0.4831842111 0.2331690610 0.5294548169 0.4285810595 0.0959639551
0.6210797939 0.9387622470 0.7974808107 0.3455880248 0.5352438009 0.1466127141 0.0911846708 0.6062737197 0.3394065800 0.1428989164 0.8857481655 0.7087539713 0.7250674394 0.7539228269 0.5895747608 0.5844798621 0.4410114106 0.9090631837 0.8837884492 0.7128821869 0.0849585199 0.0639530143 0.5529376761 0.0988345464 0.7949789169 0.7367285236 0.5250184609 0.7794251726 0.9341176897 0.6652426327 0.7289330478 0.1734368048 0.3576637828 0.4738083941 0.7835499899 0.6818323772 0.1932102653 0.3688327199 0.5013282569 0.0245493610
0.8122548723 0.8847640115 0.6154410850 0.3645410061 0.6088667261 0.2952252513 0.0744399147 0.6272608911 0.5806357843 0.3424095381 0.8654089289 0.6851701016 0.6486971592 0.8824142487 0.6837028722 0.7660712140 0.3686687234 0.8341713054 0.8924970816 0.9411933998 0.1048975362 0.0751337111 0.6831433817 0.0682563209 0.6345417370 0.8134297790 0.4898295884 0.6537874805 0.7697962280 0.2331070538 0.5329663921 0.1269731945 0.2012371868 0.3862327519 0.9257966966 0.4122031909 0.2324979107 0.2836495298 0.3932389873 0.1498454803
