# alphabio_phy abioa_phy bbioa_phy abioa_dia bbioh phykf phymaxqc phylmor diamaxqs diaVmaxs dialmor overflow zooCingest zooCassim zooeps zprefdia zoolmor mesCassim meseps mprefphy meslmor mesqmor mespreyswitch detqrem ldetphi phyrad0 diarad0 zoorad0 phybiot diabiot dfefloor kscav_dfe kcoag_dfe bsi_alpha aoalmor pbac_alpha lbac_alpha lbac_beta baclmor bacqmor
3.5826123958 0.0000167352 1.0644325728 0.0000098659 1.0722153902 0.1984592714 0.0200837002 -2.0526857649 0.8515667055 0.0000031068 -1.0747233011 0.5163259417 0.7868423118 0.4916699366 0.0000051010 0.6695659596 -2.5053631039 0.4587194654 0.0000018465 0.6155507837 -3.7793257246 0.0000007685 2.5271898873 0.0000028100 0.8426393987 8.5558077605 101.5150147536 31.1409345088 1.7032152857 0.9615469212 0.0353279526 -3.1676717212 -7.7891038195 -9.6739896669 -1.6076128710 0.6133093338 0.2073851933 0.4239121095 -2.1516779513 0.0000002672
3.3026023396 0.0000170497 1.0739491713 0.0000110752 1.0683714681 0.3987638762 0.0198629528 -2.2413242470 0.6114271303 0.0000031497 -1.1830194283 0.7700971968 0.8187691662 0.5218694009 0.0000038327 0.5442024560 -2.3390248282 0.5588098961 0.0000017252 0.7450652602 -3.8890255937 0.0000012398 2.4912418260 0.0000040030 0.7910725928 12.2883457471 93.7472873206 20.9184287354 1.3415152024 1.0989095242 0.0271947611 -3.1783713011 -7.6899231139 -9.4910755892 -1.4877439013 0.7225282690 0.1997685673 0.3211191651 -2.1987498189 0.0000006182
3.6433954223 0.0000162097 1.0720174729 0.0000119909 1.0742479993 0.2288042253 0.0247046065 -1.7511781013 0.7785567062 0.0000018281 -1.0494998490 0.7517394909 0.8114731763 0.4976135429 0.0000029784 0.3861178162 -2.3474786543 0.5296049019 0.0000019661 0.7860516786 -3.7189885958 0.0000007121 1.7579275095 0.0000045762 0.7298642200 13.2835177642 93.5513225112 25.2786813795 1.8711626644 1.2310205155 0.0372876604 -3.0907968649 -8.4317288774 -9.3287394087 -1.5711228963 0.5416319088 0.0710941857 0.3470896442 -2.5454450632 0.0000003394
3.5250531145 0.0000152185 1.0595125514 0.0000108685 1.0707896124 0.2396327741 0.0223610011 -2.1026026973 0.8151587094 0.0000033906 -1.1229537010 0.5479841359 0.8414608360 0.5306490126 0.0000039778 0.6185739775 -2.5873979765 0.5651955821 0.0000018004 0.7323315234 -3.9173371780 0.0000010511 2.1447398998 0.0000028943 0.8474962464 7.9565412676 115.8481299800 19.2446012858 1.8764795568 1.0686731787 0.0284451204 -3.5638455869 -7.1951629219 -9.4364335169 -1.6188673579 0.5115979114 0.4712350279 0.4155627593 -2.5104104717 0.0000004050
2.8443201444 0.0000144297 1.0763493982 0.0000126054 1.0660163879 0.5104722031 0.0133632404 -2.1579787241 0.6526472112 0.0000033234 -1.3250352308 0.5980951529 0.8214398799 0.4119928476 0.0000031617 0.2717756501 -2.3310593682 0.5624671695 0.0000021551 0.6222705788 -3.8391123885 0.0000011734 2.3079713213 0.0000030445 0.9038878025 5.9324227594 93.5405247967 28.4759780474 1.7118110153 1.0297515786 0.0247838535 -3.6061331407 -7.7163654680 -8.8435659491 -1.3362073884 0.7125220504 0.2730736325 0.4257343066 -2.3120810327 0.0000002792
3.7662996883 0.0000155201 1.0733055306 0.0000111862 1.0662890545 0.3616056672 0.0138232722 -2.1128118622 0.6677233039 0.0000033512 -1.0648465351 0.6703542566 0.7242793556 0.4467089503 0.0000034433 0.6350116812 -2.7369272541 0.5569536686 0.0000015191 0.7223751480 -3.9304006667 0.0000011785 2.3961452000 0.0000020669 0.8914734986 10.5510309636 70.6547449264 32.2568541626 1.7162125519 1.1996099705 0.0360984311 -2.8995467997 -6.8736105208 -9.5028327608 -1.4228242088 0.4813499089 0.2145748602 0.1589143439 -2.1961203515 0.0000005273
3.5731856512 0.0000151694 1.0640549800 0.0000117121 1.0717323222 0.7921291860 0.0205988316 -1.7575353732 0.8799199567 0.0000016066 -1.1694321305 0.7001995707 0.7807628016 0.5161566482 0.0000035913 0.5424002861 -3.2676081839 0.5288025785 0.0000017376 0.8870859905 -3.8517577281 0.0000007597 2.6372756440 0.0000036467 0.8371489832 13.3596298939 78.0415911310 24.6597101979 1.3264826138 1.1802652957 0.0386454970 -3.3155915684 -6.2264826766 -8.6247748557 -1.5561748402 0.6544447572 0.2537516155 0.6740909572 -2.3988500007 0.0000005986
3.5914468802 0.0000165586 1.0727208899 0.0000082925 1.0667049786 0.3219797595 0.0189807160 -2.2160257402 0.6635698347 0.0000026268 -1.3094720026 0.6334053846 0.7352195688 0.4643371975 0.0000041994 0.2953728625 -3.0953590794 0.4955137970 0.0000018194 0.8781758948 -3.9374830853 0.0000006880 2.2358228974 0.0000018510 0.8704899948 12.1827625402 149.1282801892 19.7904782321 1.7371930836 1.3050664714 0.0416177184 -3.4454823444 -7.6877776950 -9.3739900633 -1.2633230648 0.2312662765 0.1025649692 0.4389259140 -2.9337439838 0.0000003324
2.9101073268 0.0000151271 1.0593690249 0.0000109263 1.0700585559 0.5820987994 0.0162709041 -1.8506751235 0.7161477730 0.0000025264 -1.3032284229 0.5348793443 0.7417967412 0.5217278760 0.0000033191 0.2669097488 -3.0221590688 0.5277355289 0.0000017845 0.9464570240 -3.9354592641 0.0000009242 2.5910975072 0.0000016351 0.8425236210 12.6404223877 81.5651752401 21.6150987240 1.6461932640 0.5778103907 0.0405002010 -3.7300124156 -7.0051817932 -9.4987863400 -1.6005587660 0.1203170427 0.1562729244 0.4444061102 -2.6701631227 0.0000007789
3.3137231390 0.0000162216 1.0766041778 0.0000097347 1.0769739069 0.4004270537 0.0181175020 -1.9441934457 0.7168725489 0.0000016584 -1.1132204804 0.5083811825 0.8533300799 0.4833143392 0.0000032785 0.6214544776 -3.0421892242 0.4671984493 0.0000018047 0.9174291401 -3.8159882255 0.0000007670 2.0252839573 0.0000044069 0.8679029308 10.2626916042 81.5993079996 34.6435351612 1.7901521741 1.2258703646 0.0416718173 -2.5503909231 -7.6816531993 -9.7019050044 -1.4125709630 0.5114817851 0.2785226669 0.3023431549 -2.3127648392 0.0000001997
